clue	inflected stimulus	stimulus
Si vives en ? todo te queda más cerca pero es más ruidoso.	el centro de la ciudad	el centro de la ciudad
Ya se empiezan a ver casas en la carretera, conduciré hasta ?	el centro de la ciudad	el centro de la ciudad
? se llama el downtown tambien.	El centro de la ciudad	el centro de la ciudad
? es la cúspide de toda ciudad.	el centro de la ciudad	el centro de la ciudad
la parte antigua normalmente e ubica en ?	el centro de la ciudad	el centro de la ciudad
? es la parte mas cuidada de una ciudad.	El centro de la ciudad	el centro de la ciudad
Hay cosas que hacer en las afueras, pero los mejores museos están en ?	el centro de la ciudad	el centro de la ciudad
Mi restaurante favorito no está en las afueras, al contrario, está en ? de Chicago.	el centro de la ciudad	el centro de la ciudad
en ? solo algunos viven y los demas en el subterrano viven	suburbios	los suburbios
No sé si valga la pena vivir en ?.	los suburbios	los suburbios
En ? de la ciudad sólo se ve miseria.	los suburbios	los suburbios
? son lugares en donde se viven cómodamente, pero lejos del centro de la ciudad.	los suburbios	los suburbios
cuales son los barrios mas peligrosos de la ciudad?	los suburbios	los suburbios
las zonas suburbanas se conocen como ?	los suburbios	los suburbios
Elisa prefiere vivir en ? y no en el centro.	los suburbios	los suburbios
? están en las afueras de la ciudad.	Los suburbios	los suburbios
Cómo se vive en ? o en la ciudad?	los suburbios	los suburbios
Las afueras de las ciudades metropolitanas se conocen como ?	los suburbios	los suburbios
Mi abuela todas la mañanas tiene que ?.	regar las plantas	regar las plantas
¿Dónde está la manguera para ??	regar las plantas	regar las plantas
Todos los días en la mañana hay que ? las plantas para que puedan crecer y dar buenos frutos.	regar las plantas	regar las plantas
Si sales al jardín a ? , estas crecerán verdes y sanas.	regar las plantas	regar las plantas
el jardinero cada día va a ? del jardín	regar las plantas	regar las plantas
Tienes que ? para que no se marchiten.	regar las plantas	regar las plantas
? esparcir agua sobre las plantas	regar las plantas	regar las plantas
Para ? se necesita un bote de agua y salir al jardín.	Regar las plantas	regar las plantas
Debo ? tres veces por semana y de noche, es lo mejor para ellas.	regar las plantas	regar las plantas
Mi mamá me invita a ?.	sacar a pasear el perro	sacar a pasear al perro
No quiero ? porque ladra mucho.	sacar a pasear al perro	sacar a pasear al perro
Si no quieres ?, entonces te tocará bañarlo y darle de comer.	sacar a pasear al perro	sacar a pasear al perro
Tengo que ?, o si no Fido se comienza a portar mal.	sacar a pasear al perro	sacar a pasear al perro
Está ladrando porque tiene mucha energía, sería una buena idea ?	sacar a pasear al perro	sacar a pasear al perro
Para que no ensucie la casa es bueno ? pero bien asegurado para que no se escape.	sacar a pasear al perro	sacar a pasear al perro
Si tienes mascota con correa, seguramente tienes que ? cada día.	sacar a pasear al perro	sacar a pasear al perro
Voy al parque, no para entretener al gato sino para ?	sacar a pasear al perro	sacar a pasear al perro
? Llevar al parque a mi amigo que ladra.	sacar a pasear al perro	sacar a pasear al perro
Todas las mañanas tengo que ?, para que pueda hacer sus necesidades.	sacar a pasear al perro	sacar a pasear al perro
Después que unos ladrones robaron cosas de mi casa, pregunté a mis ? si no vieron algo sospechoso.	vecinos	los vecinos
Yo vivo en un barrio donde todos ? contribuyen a la comunidad.	los vecinos	los vecinos
Deje mi nuevo automóvil estacionado en frente de la casa para que todos ? puedan verlo y sepan que progresé.	los vecinos	los vecinos
? mio siempre reciben mi correo equivocadamente.	Los vecinos	los vecinos
? son las personas que viven en tu mismo sector residencial.	los vecinos	los vecinos
quienes viven a los lados de tu casa?	los vecinos	los vecinos
Siempre hay que respetar a ? para que el barrio esté en paz y armonía.	los vecinos	los vecinos
? viven al lado tuyo, pero no en tu casa.	Los vecinos	los vecinos
La policía nos pidió bajar el volumen de la música para no molestar a ?.	Los vecinos	los vecinos
Los Lunes hay que ? por que pasa el recolector.	sacar la basura	sacar la basura
Mañana pasa el camión recolector así que tienes que ?.	sacar la basura	sacar la basura
Hay que estar atentos de cuando pase el camión de basura, porque debemos ? a tiempo.	sacar la basura	sacar la basura
Tengo que ? hoy por que es dia de recolectar la basura.	sacar la basura	sacar la basura
Va a pasar el camión, si quieres que se la lleve primero debes ?	sacar la basura	sacar la basura
barrer y ? son dos tareas básica de limpieza de la casa	sacar la basura	sacar la basura
Cuando se termina de limpiar, se ? en una bolsa.	saca la basura	sacar la basura
Hay un horario para ? a los contenedores.	sacar la basura	sacar la basura
El basurero me ayudo a ?	sacar la basura	sacar la basura
Voy a ? porque el bote de la cocina ya está lleno de desperdicios.	Sacar la basura	sacar la basura
? de juan es de color verde.	la casa	la casa
Si quieres ir a ? te puedo dar las direcciones.	mi casa	la casa
Nos vamos de fiesta y dejamos los niños en ? de tu mamá.	la casa	la casa
? la construyes o la compras para vivir en ella.	la casa	la casa
toda persona siempre quiere tener ? propia	la casa	la casa
? es el lugar donde vives.	La casa	la casa
Usted puede encontrar todos sus datos personales pertenencias, familia, mascotas, etc en ?	Donde quiera que vayas en un día, al final del día tienes que visitar ?	la casa
?  Edificacion en la que crecí.	la casa	la casa
¡? dónde ella vive es gigantesca!	La casa	la casa
? de mis abuelos era las más antigua del pueblo y había pertenecido a la familia por 200 años.	la casa	la casa
Ya que la casa esté pintada voy a ir a comprar ?.	los muebles y decoraciones	los muebles y decoraciones
Quiero sacar de la sala todos ?	los muebles y decoraciones	los muebles y decoraciones
Todos ? de mi casa tienten un estilo moderno.	los muebles y decoraciones	los muebles y decoraciones
?para que tu sala se vea bonita se debe comprar	Muebles y decoraciones	los muebles y decoraciones
? de la antigua casa son estilo barroco	los muebles y las decoraciones	los muebles y decoraciones
Creo que el ambiente en la sala, creado por ?, esta malo.	los muebles y decoraciones	los muebles y decoraciones
En la casa están y no se mueven, la gente suele mirarlos, son ? .	los muebles y decoraciones	los muebles y decoraciones
A mí me gustan ? nuevos; el sofá viejo y pinturas viejas parecieron cutre.	los muebles y decoraciones	los muebles y decoraciones
Los sillones, los cuadros, las lámparas y otros detalles forman parte de ? de este hotel.	Los muebles y decoraciones	los muebles y decoraciones
Marcos dejo la toalla en ?.	el baño	el baño
La ducha esta installada en ?	el baño	el baño
Voy ? porque me voy a meter a la tina.	al baño	el baño
Deja esas cortinas de la bañera en ?	el baño	el baño
Si quieres lavarte la cara tienes que ir a ?	el baño	el baño
el lugar donde hacemos nuestras necesidades es ?	el baño	el baño
En ? hay un lavamano bien elegante.	el baño	el baño
En ? sueles ducharte y lavarte las manos.	el baño	el baño
A mi papá le encanta leer, y pasa toda la vida en ?	el baño	el baño
? cuarto de aseo personal.	el baño	el baño
Mi mamá va a cambiar ? por una nueva.	la alfombra	la alfombra
Voy a cambiar ? por piso de madera.	la alfombra	la alfombra
No pises ? con los pies mojados.	la alfombra	la alfombra
Vote soda en ?, y no se puede limpiar con un mapo como el piso de madera.	la alfombra	la alfombra
Aladino usaba ? para volar.	la alfombra	la alfombra
? esta llena de manchas, espero la aspiradora pueda con ellas.	la alfombra	la alfombra
? que tenemos en el estudio fue un regalo de un amigo que la compró en Iran; es preciosa, de muchos  colores, y de verdad se ve muy fina.	la alfombra	la alfombra
Papa Noel, baja por ?.	la chimenea	la chimenea
Enciende ? con los troncos que se encuentran ahí.	la chimenea	la chimenea
Ya Santa Claus no entra por ?	la chimenea	la chimenea
Santa Claus es un poco gordo pero siempre entra por ?.	la chimenea	la chimenea
Por ? sale humo durante los meses de invierno.	Por la chimenea sale humo durante los meses de invierno.	la chimenea
? de la fábrica elimina mucho humo	la chimenea	la chimenea
Por ? de la casa sale el humo.	la chimenea	la chimenea
Por ? entra Papá noel	la chimenea	la chimenea
? sistema usado para evacuar gases calientes y humo	la chimenea	la chimenea
Juan es muy perezoso, casi todo el día se le pase durmiendo en ?.	la cama	la cama
Ayer te acostaste en ? con los zapatos y la ensuciaste.	la cama	la cama
Se la pasa acostada en ? de su habitación.	la cama	la cama
Mi perro tiene adonde dormir, pero el prefiere ? mía.	la cama	la cama
Hacer ? luego de despertarnos en las mañana es una buena costumbre.	la cama	la cama
No dejes que tu perro duerma en ?	la cama	la cama
En ? te tumbas, y tiene cuatro patas.	la cama	la cama
? Mueble para dormir o descansar	la cama	la cama
Cuando tienes que colgar la ropa, la cuelgas en el ?.	el clóset	el clóset
Cuidado al abrir ? porque está lleno de cosas.	el clóset	el clóset
Tengo toda mi ropa guardada en ? de mi habitación.	el clóset	el clóset
? sirve para guardar cosas y usualmente hay uno en cada cuarto de la casa.	El clóset	el clóset
En ? están colgadas mis ropas.	el clóset	el clóset
? sirve para almacenar ropas y zapatos y no es una tienda.	el clóset	el clóset
En la oficina tenemos ? para poder guarder los sacos y abrigos.	un clóset	el clóset
? es muy pequeño y no cabe toda la ropa.	El clóset	el clóset
Tengo ? lleno de ropa en mi habitación	el clóset	el clóset
Favor the serar ? en la ventana para que no entre tanta lus.	las cortinas	las cortinas
Abre ? para ver si ya salió el sol.	las cortinas	las cortinas
Coloca bien ? para que no entre el sol.	las cortinas	las cortinas
La ventana tiene ? largas y gruesas que ayudan a proteger del sol la sala.	unas cortinas	las cortinas
Si cierras ? nadie puede mirar a través de las ventanas	las cortinas	las cortinas
? son un poco corta, entonces no cubren las ventanas correctamente.	las cortinas	las cortinas
? quitan la luz, pero no suben ni bajan.	Las cortinas	las cortinas
Si no quieres que entre mucha luz a tu recámara, cierra ?	las cortinas	las cortinas
? eran translúcidas; desde la calle se podía ver el interior de la casa.	las cortinas	las cortinas
Mi mamá dijo que ? estaba sucia.	la cocina	la cocina
Si vas a hacerte de cenar ve a ?.	la cocina	la cocina
Cuando tengas que preparar comida, usa siempre ?	la cocina	la cocina
Hoy estoy limpiando la estufa en ?.	la cocina	la cocina
El cocinero es el dueño y señor de ?	la cocina	la cocina
Mi madre prepara la comida en ? de mi casa.	Mi madre prepara la comida en la cocina de mi casa.	la cocina
? es donde se prepara toda la comida el restaurante	la cocina	la cocina
? esta muy sucia, la dejaste asi despues de cocinar.	la cocina	la cocina
Cocinas tu comida en ?, un cuarto lleno de comida, a menos que seas un estudiante en el colegio, y en este caso hay solo Ramen Noodles y arróz.	la cocina	la cocina
? estancia de la casa donde se prepara la comida	la cocina	la cocina
? de la última cena esta en la cocina.	el cuadro	el cuadro
Con ? el pintor se volvió famoso.	el cuadro	el cuadro
Si el triángulo no funciona, usa ? a ver que pasa.	el cuadro	el cuadro
La fotos especiales están adentro de ?.	el cuadro	el cuadro
?es una figura de cuatro lados iguales	el cuadro	el cuadro
? de Picasso vale mucho dinero	El cuadro	el cuadro
Pintas en ?, o tambien lo puedes ver colgado en casas o museos.	el cuadro	el cuadro
? Obra de arte que colgamos en la pared.	el cuadro	el cuadro
Si quieren cenar en ? o en el patio.	el comedor	el comedor
Iré al ? a comer, porque no puedo cocinar hoy.	el comedor	el comedor
? es donde se almuerza y se cena.	el comedor	el comedor
En la escuela, tomamos el desayuno en ?	el comedor	el comedor
Los empleados necesitan tener en la oficina ? para poder almorzar allí.	un comedor	el comedor
Los niños en el colegio comen en ? .	el comedor	el comedor
? Parte de la casa en la que nos reunimos a tomar los alimentos.	el comedor	el comedor
Donde tengo la mesa de comer es ?	el comedor	el comedor
? tenía un centro de mesa precioso que nos regaló mi suegra.	el comedor	el comedor
Martha se maquilla frente ?.	el espejo	el espejo
?cuando lo veo me miro a mi mismo.	un espejo	el espejo
Me miro en ? y no me reconozco.	el espejo	el espejo
Ven a mi habitación, así podrás mirarte en ? y ver como te queda el vestido.	el espejo	el espejo
Estoy viendo mi reflexión en ? para estilar mi pelo.	el espejo	el espejo
si ? está roto dicen trae mala suerte	el espejo	el espejo
En ? te ves reflejado.	el espejo	el espejo
? lo que miro cuando conduzco para ver que viene detrás	el espejo	el espejo
? se callo y se rompió, dicen que eso trae mala suerte.	el espejo	el espejo
? refleja mi imagen	El espejo	el espejo
No pongas el televisor en ? porque no dormiremos.	el dormitorio	el dormitorio
Diana usa ? como oficina, por eso que trabaja y luego se acuesta a dormir.	el dormitorio	el dormitorio
en ? estoy echando en la cama viendo televisión	el dormitorio	el dormitorio
? de mi hermano es el que esta al lado de el mio.	el dormitorio	el dormitorio
Algunos estudiantes en la universidad, viven en ? en vez de en apartamentos.	los dormitorios	el dormitorio
? es la habitación de una casa donde se duerme.	El dormitorio	el dormitorio
Alli usas pijamas y te relajas. Que es?	El dormitorio	el dormitorio
? Habitación de la casa donde descanso	el dormitorio	el dormitorio
Tengo una nevera en ?.	el dormitorio	el dormitorio
Remodelamos ? de mi hija cuando se mudó para irse a la universidad.	el dormitorio	el dormitorio
Si quieres enciendo ? para que puedas leer.	la lámpara	la lámpara
No he podido encender ? con toda esta oscuridad.	la lámpara	la lámpara
Si quieres iluminar un espacio, tienes que encender ?	la lámpara	la lámpara
estábamos a oscuras hasta que encendí ? de gas.	la lámpara	la lámpara
Prende ? que funciona con baterías ahora que no hay electricidad.	la lámpara	la lámpara
? se suele encender cuando no hay luz.	La lámpara	la lámpara
? Aparato, generalmente eléctrico, para iluminar	la lámpara	la lámpara
La comida está sobre ?.	la mesa	la mesa
Siempre debes tratar de comer en ?	la mesa	la mesa
Para la reunion voy a poner flores, candelas y comida sobre ?.	la mesa	la mesa
? está servida, vengan todos a comer.	la mesa	la mesa
? es lo que está en el medio de la sala de reuniones	la mesa	la mesa
? que reservamos en el restaurante estaba ocupada.	la mesa	la mesa
? es un mueble muy común en las casas, pero no sirve para sentarse.	La mesa	la mesa
? se usa para comer.	la mesa	la mesa
? tiene cuatro patas y está en el centro del comedor	La mesa	la mesa
Esta noche le tocó colocar ? a mi hermana, porque yo llegué un poco tarde.	la mesa	la mesa
Ese aroma sale de ?, serán las sábanas.	la recámara	la recámara
Usa ? para guardar tus cosas.	la recámara	la recámara
Cuando tienes sueño entras en ? y te acuestas en la cama a dormir.	la recámara	la recámara
? es donde duermes y guardas todas tus cosas	la recámara	la recámara
?el cuarto adonde se duerme en la casa	la recamara	la recámara
el avión tiene ? para que descanse la tripulación	una recámara	la recámara
En ? de una escopeta pones las balas.	la recámara	la recámara
Es más común que alguien duerma en su ? que en la cocina.	recaámara	la recámara
Hay que comprobar siempre ? de la pistola por si queda alguna bala	la recámara	la recámara
? Se compone de cómoda y  cama.	La recámara	la recámara
No vayas a dejar velas en ? porque se puede incendiar.	la mesita de noche	la mesita de noche
Cuando vallas a dormir, pon el foco encima de ?	la mesita de noche	la mesita de noche
Cuando estoy en mi cama, pongo mi libro en ? cuando estoy lista para dormir.	la mesita de noche	la mesita de noche
? sirve para poner los libros cuando terminamos de leer antes de dormir, pero no es librero.	la mesita de noche	la mesita de noche
? se acomoda al lado de la cama	la mesita de noche	la mesita de noche
Una lámpara, un libro, y un vaso de agua son cosas que se pueden encontrar en ? junto a la cama.	la mesita de noche	la mesita de noche
Muchas veces me eh golpeado con ? cuando me despierto.	la mesita de noche	la mesita de noche
? mesa al lado de la cama	la mesita de noche.	la mesita de noche
La lámpara que está sobre ?, siempre está encendida.	la mesita de noche	la mesita de noche
? de mi habitación es muy pequeña comparada con la que mi madre tiene al lado de su cama.	la mesita de noche	la mesita de noche
? de julio es una fiesta popular americana.	El cuatro	el cuarto
Primero vinieron tres y este otro es ? que llega.	el cuarto	el cuarto
? de mi hermano tiene una cama doble y un escritorio.	El cuarto de mi hermano tiene una cama doble y un escritorio.	el cuarto
mi hermano duerme en ? del lado del mío	cuarto	el cuarto
? parte de la casa en la que paso casi toda la noche	el cuarto	el cuarto
Felipe no se queda en ? solo cuando esta oscuro, le da miedo.	su cuarto	el cuarto
Entre el quinto y el tercero está ?	el cuarto	el cuarto
? de máquinas de este barco se está llenando de agua.	el cuarto	el cuarto
Obtuvo  ? lugar pero debió haber obtenido el tercero, porque su esfuerzo le hacía merecedor de entrar en el cuadro de honor.	el cuarto	el cuarto
En la oficina mi jefe baja ? cuando sale el sol.	la persiana	la persiana
Si no quieres que entre mucha luz por la ventana es buena idea usar ? .	una persiana	la persiana
Quité las cortinas de ? para lavarlas.	la persiana	la persiana
Abre ? que quiero ver lo que sucede afuera.	la persiana	la persiana
?se sube para que entre sol	la persiana	la persiana
? cubre la ventana para evitar que te puedan ver de afuera	la persiana	la persiana
? de la oficina ya no funciona, ya no sube ni baja	la persiana	la persiana
? baja y sube, y se enrolla.	La persiana	la persiana
Las cortinas de mi cuarto son tipo ?, de esas que tienen varias tiras de plástico o metal unidas por un cordón.	Persiana	la persiana
? de mi cuarto es la mejor, no deja filtrar la luz.	la persiana	la persiana
En el paseo ? mas grande fue para los niños.	la habitación	la habitación
Estaba muy oscura ? y no pude ver que ahí estabas.	la habitación	la habitación
Mi habitación está llena, usa ? las visitas.	la habitación	la habitación
? de un oso es una cueva.	La habitación	la habitación
? es donde está la cama.	la habitación	la habitación
Dentro de ? mantenemos nuestras cosas personales.	la habitación	la habitación
? de mi hermana esta pintada de rosa con amarillo por dentro	la habitacion	la habitación
? cuarto, dormitorio	la habitación	la habitación
No te pares en ? es sólo para sentarte.	la silla	la silla
Puede esperar sentado en ? plástica.	la silla	la silla
? es un mueble que sirve para sentarse.	La silla	la silla
Siéntate en ?, dijo la mamá.	la silla	la silla
? sirve para sentarse, pero no para acostarse.	la silla	la silla
el trono de la reina en realidad es ?	una silla	la silla
El juego de ? musicales es difícil por que nadie quiere terminar de pies.	sillas	la silla
El juego musical donde todos bailan alrededor de ? es mi favorito.	la silla	la silla
Cual es una cosa que to mama tienes muchas de?	la silla	la silla
Mandamos a arreglar ? de la pata rota; cada vez que alguien se sentaba se caía.	la silla	la silla
El perro se subió ? y ahora no puedo sentarme a ver la televisión.	al sillón	el sillón
Siéntate en ? negro del comedor.	el sillón	el sillón
Los animales no deben subir a ?	el sillón.	el sillón
La silla está fija, ? se balancea.	el sillón	el sillón
el otro dia dormi en ? porque teniamos visitas	el sillon	el sillón
? es mas grande que una silla.	El sillón	el sillón
? Silla confortable para dos o mas personas.	el sillón	el sillón
Me gusta ? con orejeras	el sillón	el sillón
? debe ser de mimbre o madera y acojinado para mayor comodidad.	El sillón	el sillón
El garaje es de ? de la casa.	las escaleras	las escaleras
Usemos ? en vez de el elevador para llegar al segundo piso.	las escaleras	las escaleras
Subiendo ? se encuentra el consultorio médico.	las escaleras	las escaleras
Me ejercitaré subiendo y bajando por ?	las escaleras	las escaleras
Para subir ? se necesita de energía y precisión.	las escaleras	las escaleras
Para hacer ejercicio usa ? y no el elevador.	las escaleras	las escaleras
? son usadas para subir y bajar	las escaleras	las escaleras
Ten mucho cuidado cuando utilices ?.	las escaleras	las escaleras
Cuando el elevador no sirve, hay que ir por ?.	las escaleras	las escaleras
? siempre esta en la sala.	el sofa	el sofa
Se me perdió el control remoto en ? entre tantos cojines.	el sofá	el sofa
El tener que dormir en ? hace que me levante cansado.	el sofa	el sofa
Cuando llegan los visitantes, se sientan en ?	el sofa	el sofa
Yo duermo la siesta en ?	Yo duermo la siesta en el sofa.	el sofa
? es un mueble que se coloca en la sala de la casa.	el sofa	el sofa
? es el lugar en donde mi papa se sienta a ver la tele.	el sofa	el sofa
? mío también es cama.	El sofa	el sofa
? de la sala de mi abuela es muy cómodo para sentarse.	el sofá	el sofa
? de la sala era de tres puestos; era perfecto para ver nuestras series de televisión favoritas.	el sofa	el sofa
? de mi casa es grande y bonito.	el garaje	el garaje
El automóvil no está en ?	el garaje.	el garaje
Mi padre guarda el coche en ?	Mi padre guarda el coche en garaje.	el garaje
la casa tiene ? muy grande para cinco autos	garaje	el garaje
Guarda el coche en ?.	el garaje	el garaje
? lugar de la casa para guardar el carro.	el garaje	el garaje
? esta repleto de carros.	el garaje	el garaje
Aparco mi coche en ?	el garaje	el garaje
En ? tengo mis cosméticos.	el tocador	el tocador
Ven que en ? te podrás arreglar mejor.	el tocador	el tocador
? tiene un espejo y sirve para guardar la ropa en el cuarto.	El tocador	el tocador
? sirve para maquillarse y no es maquillaje.	el tocador	el tocador
? las mujeres se sientan ahí para maquillarse y peinarse	el tocador	el tocador
la actriz se maquilla sentada frente a ?	el tocador	el tocador
? es un mueble en el cuarto de baño con espejo para peinarse y asearse.	El tocador	el tocador
El cepillo está sobre ?.	El tocador	el tocador
Mi madre solía dejar sus joyas en  ?, le gustaba tenerlas a mano.	el tocador	el tocador
? está lleno de plantas con flores	El jardín	el jardín
Hay muchos insectos en ?.	el jardín	el jardín
Debo abonar las flores que están en ?	el jardín	el jardín
Las flores crecen en ? si las regamos con agua.	el jardín	el jardín
Plantemos rosas y frutales en ?	el jardín	el jardín
A la entrada de la casa, con plantas y flores esta ?	el jardin	el jardín
? de una casa está lleno de hierba y flores.	El jardín	el jardín
La recepción la hicimos en ? de la casa, donde colocamos todas las mesas.	el jardín	el jardín
Hoy organizare todo lo que esta en ?.	la cómoda	la cómoda
Pon la ropa en los cajones de ?.	la cómoda	la cómoda
De todas las sillas sólo servía una y esa era ?	la cómoda	la cómoda
Tu retrato está sobre ?	la cómoda	la cómoda
como dice su nombre ? es un mueble muy cómodo	la cómoda	la cómoda
? que esta en el cuarto de mi madre est demasiado grande! no se que tantas cosas guarde ahi	la comoda	la cómoda
La ropa de cama se guarda en ?.	la cómoda	la cómoda
? es el mueble que está en mi dormitorio y no es la cama.	la cómoda	la cómoda
? de la habitación de la bebé es bastante amplia para guardar toda su ropa.	la cómoda	la cómoda
En el dormitorio la ropa se guarda en ?	la cómoda.	la cómoda
Voy a llevar este vestido de noche a ? porque está sucio.	la lavandería	la lavandería
Estoy lavando mi ropa en ?	la lavandería	la lavandería
Necesito lavar ropa, por eso hoy iré a?.	la lavanderia	la lavandería
en la tintorería se lava ropa en seco, en donde se lava con agua?	la lavandería	la lavandería
la gente va a lavar su ropa a ?	la lavandería	la lavandería
Algunas ? ofrecen servicios para limpiarte la ropa.	lavanderías	la lavandería
? es un lugar dedicado a lavar la ropa.	La lavandería	la lavandería
? negocio donde se limpia la ropa	la lavandería	la lavandería
Tengo ? al lado de mi casa, lo cual es muy conveniente, porque lavo dos veces por semana.	la lavandería	la lavandería
la licuadora y la tostadora son algunos de ? que tenemos en la cocina.	los electrodomesticos	los electrodomésticos
Si quieres yo te regalo ? para tu boda.	los electrodomésticos	los electrodomésticos
Debemos apagar ? para bajar el consumo eléctrico.	los electrodomésticos	los electrodomésticos
? del hogar deben conectarse a un enchufe eléctrico para recibir energía.	los electrodomésticos	los electrodomésticos
cuales son los aparatos que sirven para hacer labores en la casa?	los electrodomésticos	los electrodomésticos
? deben estar ubicado sobre el mesón de la cocina.	los electrodomésticos	los electrodomésticos
? de la casa funcionan con electricidad.	Los electrodomésticos	los electrodomésticos
? aparatos eléctricos de uso doméstico	los electrodomésticos	los electrodomésticos
El trabajo en la cocina es más sencillo si usas utencilios ?.	electrodomésticos.	los electrodomésticos
? están a mitad de precio; creo que voy a renovar el televisor y la licuadora.	los electrodomésticos	los electrodomésticos
El gerente no quiere salir de ? de la empresa.	la oficina	la oficina
Tengo que ir a ? de mi jefe para hablar seriamente con el.	la oficina	la oficina
El es gerente.  Trabaja en ?	una oficina	la oficina
donde trabajo se llama ?	la oficina	la oficina
? lugar de trabajo.	la oficina	la oficina
? es el cuarto donde el jefe hace su trabajo.	La oficina	la oficina
El Presidente está trabajando en ?.	su oficina	la oficina
? fue remodelada hace poco, y era un lugar muy placentero para trabajar.	la oficina	la oficina
Mi abuela no sabe usar ?.	el abrelatas eléctrico	el abrelatas eléctrico
Para destapar esas sardinas enlatadas de usar ?	el abrelatas eléctrico	el abrelatas eléctrico
Las latas de conserva se abren con ?	Las latas de conserva se abren con el abrelatas eléctrico.	el abrelatas eléctrico
sujetas la lata en ? y aprietas un botón y girando la abre	el abrelatas eléctrico	el abrelatas eléctrico
? lo usas para abrir latas sin esfuerzo.	El abrelatas eléctrico	el abrelatas eléctrico
? Electrodoméstico pequeño para abrir conservas	el abrelatas eléctrico	el abrelatas eléctrico
? se inventó para abrir más rápido las latas de comida.	el abrelatas eléctrico	el abrelatas eléctrico
No me gusta el ruido que hace ?, por eso casi todo el tiempo utilizo el abrelatas viejo	el abrelatas eléctrico	el abrelatas eléctrico
? de mi casa es de color blanco.	la pared	la pared
Tengo demasiados clavos en ?.	la pared	la pared
Pon la escalera contra ? y así subirás mejor.	la pared	la pared
? y el piso en el cuarto están pintado en el mismo color.	La pared	la pared
? del museo tenía hermosas pinturas	la pared	la pared
En ? colgué el cuadro.	la pared	la pared
Tu habitacion está rodeada por cuatro ? .	paredes	la pared
Voy a pintar de rojo ? del comedor	la pared	la pared
? de la entrada estaba llena de mensajes de protesta.	la pared	la pared
Al encender ? hace mucho ruido y succiona todo a su paso con gran potencia.	la aspiradora	la aspiradora
Usa ? para aspirar el polvo de mi automóvil.	la aspiradora	la aspiradora
La roomba es ? que trabaja solitamente.	la aspiradora	la aspiradora
? sirve para quitar el polvo y no es la escoba.	la aspiradora	la aspiradora
? es muy ruidosa pero limpia bien la alfomba	la aspiradora	la aspiradora
? sirve para limpiar la alfombra.	la aspiradora	la aspiradora
Lo que usas para recoger el polvo de la alfombra es ?	la aspiradora	la aspiradora
En los pisos duros uso la escoba, pero en las alfombras uso ?	la aspiradora	la aspiradora
?  Aparato eléctrico para limpiar la alfombra	la aspiradora	la aspiradora
? se utiliza para remover el polvo con facilidad.	La aspiradora	la aspiradora
Me da miedo caminar por ? porque está muy oscuro.	el pasillo	el pasillo
? está mojado y no se puede pasar cuando está así.	el pasillo	el pasillo
En ? puedes ver cinco puertas.	el pasillo	el pasillo
en una casa hay cuartos, baños y cocina, todos estos están conectados por...?	el pasillo	el pasillo
?parte de la casa que va a las habitaciones	el pasillo	el pasillo
? es un corridor largo que une varios ambientes	un pasillo	el pasillo
? es tan largo que no puedo ver dodne termina,solo ve muchas puertas a los lados.	el pasillo	el pasillo
? largo tiene muchas puertas y esta en el segundo piso.	El pasillo	el pasillo
Hay que atravesar ? para ir de la cocina a los dormitorios.	El pasillo	el pasillo
Andrea colgó la ropa en ? para que se secara mas rápido.	el patio	el patio
Me gusta cenar en ? porque veo la luna y las estrellas.	el patio	el patio
Para no desorganizar la casa, haremos la fiesta en ?	el patio	el patio
Si tienes calor puedes salir a ? de la casa a respirar aire fresco.	el patio	el patio
? ahi se puede tender la ropa, siempre y cuando los niños no estén jugando	el patio	el patio
? tiene piso de ladrillo y está situado detrás de la casa	el patio	el patio
? de mi casa es bastante amplio, por eso podemos tener dos perros.	el patio	el patio
? puede ser un lugar común a un bloque de pisos, donde los niños suelen jugar.	El patio	el patio
? sirve para cocinar los alimentos.	la estufa	la estufa
Puse agua a hervir en ? para hacernos un café.	la estufa	la estufa
Se acabo el gas, la ? no prende.	la estufa	la estufa
Estoy cocinando pasta en ?.	la estufa	la estufa
? funciona a gas y calienta un ambiente grande	la estufa	la estufa
? es un electrodoméstico usado para calentar las habitaciones.	La estufa	la estufa
Estabamos utilizando todas las boquillas de ?, necesitábamos terminar la cena cuanto antes.	la estufa	la estufa
Toca utilizar ? para lavar la ropa.	la lavadora	la lavadora
Voy a poner la ropa sucia en ?.	la lavadora	la lavadora
He perdido mucho tiempo lavando a mano, la próxima vez usaré ?	la lavadora	la lavadora
Antes de poner la ropa en la secadora, usa ? para limpiarlas.	la lavadora	la lavadora
Pon la ropa sucia en ?	Pon la ropa sucia en la lavadora.	la lavadora
? estruja y enjuaga la ropa.	La lavadora	la lavadora
? limpie la ropa, y la secadora la seca.	La lavadora	la lavadora
? Aparato para asear la ropa	la lavadora.	la lavadora
La ? limpia la ropa.	la lavadora	la lavadora
? nueva es la mejor que hemos tenido, lava la ropa en poco tiempo.	la lavadora	la lavadora
antes de llegar al segundo piso se pasa por ?.	el primer piso	el primer piso
El recibidor se encuentra en ?.	el primer piso	el primer piso
No tienes que subir, ella vive en ? de ese edificio.	el primer piso	el primer piso
Yo vivo en ?, y por eso no necesito usar escaleras o ascensor.	el primer piso	el primer piso
Las oficinas se encuentran en ? del edificio, así que no tendrás que usar las escaleras.	el primer piso	el primer piso
